name,logM200,Type,Dist,i,L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Qual,n_points_used,s_inner,active_shape_gate,delta_R1,alpha_v_best,ratio_v_best,Areq_v_best,at_lower_bound,at_upper_bound,chi2_ref,chi2_best,delta_chi2_best,red_chi2_ref_like,red_chi2_best_like
UGC07399,11.13,8,8.43,55.0,1.156,1.27,113.98,1.64,135.78,0.745,7.85,103.0,3.3,1,10,0.5713592233009709,0,-0.19647912440913123,0.0,1.0,0.0,0,0,172.7727662109641,172.7727662109641,0.0,19.196974023440458,19.196974023440458
UGC04278,11.15,7,9.51,90.0,1.307,2.46,34.11,2.21,377.42,1.116,8.9,91.4,4.8,1,25,0.3648796498905908,1,-0.20295553194381213,-1.5625,1.3171180186622065,1.5625,0,0,113.19618503916013,51.28867103669957,-61.90751400246056,4.716507709965005,2.137027959862482
F568-V1,11.16,7,80.6,40.0,3.825,4.4,31.39,2.85,90.54,2.491,14.38,112.3,15.8,1,15,0.5138023152270703,0,-0.2061937357111526,0.0,1.0,0.0,0,0,45.35564472229052,45.35564472229052,0.0,3.239688908735037,3.239688908735037
IC2574,11.19,9,3.91,75.0,1.016,3.18,15.88,2.78,80.32,1.036,10.81,66.4,2.0,2,34,0.28012048192771083,1,-0.21590834701317407,-3.375,1.7286906711694625,3.375,0,0,2944.6126116174855,1144.2388917263297,-1800.3737198911558,89.23068520052986,34.67390580988878
NGC0100,11.19,6,13.5,89.0,3.232,2.81,64.99,1.66,1193.52,1.99,16.36,88.1,6.4,1,21,0.300794551645857,1,-0.21590834701317407,-0.16249999999999964,1.0350851063896407,0.16249999999999953,0,0,31.44745350016096,30.1593285034077,-1.288124996753261,1.572372675008048,1.507966425170385
NGC4183,11.22,6,18.0,82.0,10.838,4.47,86.46,2.79,1098.58,3.506,16.07,110.6,5.4,1,23,0.5958408679927668,0,-0.22546209261114408,0.0,1.0,0.0,0,0,5.896716395601658,5.896716395601658,0.0,0.268032563436439,0.268032563436439
UGC06983,11.23,6,18.0,49.0,5.298,3.95,53.56,3.21,121.57,2.967,16.07,109.0,5.8,1,17,0.6619266055045872,0,-0.22773912379677475,0.0,1.0,0.0,0,0,11.70957252467961,11.70957252467961,0.0,0.7318482827924756,0.7318482827924756
NGC6503,11.24,6,6.26,74.0,12.845,1.62,774.16,2.16,398.87,1.744,14.05,116.3,2.4,1,31,0.7609630266552021,0,-0.22951433180492242,0.0,1.0,0.0,0,0,41.32893286059699,41.32893286059699,0.0,1.3776310953532331,1.3776310953532331
NGC5585,11.26,7,7.06,51.0,2.943,2.27,90.54,1.53,297.05,1.683,10.92,90.3,2.4,1,24,0.37320044296788485,1,-0.23256919743345358,-0.8874999999999997,1.2064051627221901,0.8875000000000003,0,0,427.6385205442007,133.40883844835437,-294.22968209584633,18.59297915409568,5.800384280363233
F574-1,11.27,7,96.8,65.0,6.537,5.87,29.98,4.46,128.48,3.524,16.19,97.8,4.1,1,14,0.6206543967280164,0,-0.23409663024771912,0.0,1.0,0.0,0,0,23.926177048896392,23.926177048896392,0.0,1.8404751576074148,1.8404751576074148
NGC0055,11.27,9,2.11,77.0,4.628,3.67,54.55,6.11,391.59,1.565,10.24,85.6,5.0,2,21,0.6320093457943926,0,-0.23409663024771912,0.0,1.0,0.0,0,0,71.52778197699212,71.52778197699212,0.0,3.5763890988496057,3.5763890988496057
UGC01230,11.28,9,53.7,22.0,7.62,6.45,28.63,4.34,69.32,6.43,26.29,103.7,6.1,1,11,0.5342333654773385,0,-0.23562406306198463,0.0,1.0,0.0,0,0,10.575829706108307,10.575829706108307,0.0,1.0575829706108306,1.0575829706108306
UGC06930,11.29,7,18.0,32.0,8.932,4.38,73.93,3.94,189.16,3.237,16.76,107.2,5.1,1,10,0.6534514925373134,0,-0.2371514958762502,0.0,1.0,0.0,0,0,3.4069111918327253,3.4069111918327253,0.0,0.3785456879814139,0.3785456879814139
NGC0024,11.3,5,7.3,64.0,3.889,2.01,151.65,1.34,1182.58,0.676,7.29,106.3,7.9,1,29,0.5964252116650988,0,-0.23867892869051607,0.0,1.0,0.0,0,0,25.126074528041876,25.126074528041876,0.0,0.8973598045729242,0.8973598045729242
UGC06917,11.32,9,18.0,56.0,6.832,4.52,53.07,2.76,261.11,2.023,12.67,108.7,3.5,1,11,0.5998160073597056,0,-0.2417337943190472,0.0,1.0,0.0,0,0,12.206891030735202,12.206891030735202,0.0,1.22068910307352,1.22068910307352
F579-V1,11.33,5,89.5,26.0,11.848,5.76,56.6,3.37,201.76,2.245,20.96,112.1,13.4,1,14,0.7917038358608386,0,-0.2419290076123928,0.0,1.0,0.0,0,0,10.198330368221352,10.198330368221352,0.0,0.7844869514016425,0.7844869514016425
NGC0247,11.38,7,3.7,74.0,7.332,5.87,33.79,3.74,506.79,1.746,12.79,104.9,8.0,2,26,0.5633937082936129,0,-0.22452640152746403,0.0,1.0,0.0,0,0,44.8035621483742,44.8035621483742,0.0,1.792142485934968,1.792142485934968
NGC2403,11.39,6,3.16,63.0,10.041,2.16,341.06,1.39,1408.74,3.199,15.11,131.2,4.9,1,73,0.5464939024390244,0,-0.220450237806731,0.0,1.0,0.0,0,0,12287.745823471121,12287.745823471121,0.0,170.6631364370989,170.6631364370989
NGC3769,11.42,3,18.0,70.0,18.679,2.18,626.37,3.38,160.26,5.529,22.57,118.6,8.4,2,12,0.7377740303541316,0,-0.20822174664453183,0.0,1.0,0.0,0,0,7.687079216373335,7.687079216373335,0.0,0.6988253833066668,0.6988253833066668
NGC4559,11.43,6,9.0,67.0,19.377,3.82,211.27,2.1,1602.62,5.811,21.16,121.2,5.1,1,32,0.5297029702970297,0,-0.2040637503302005,0.0,1.0,0.0,0,0,28.772383985037216,28.772383985037216,0.0,0.9281414188721683,0.9281414188721683
NGC6015,11.47,6,17.0,60.0,32.129,3.92,331.76,2.3,1926.77,5.834,21.43,154.1,7.0,2,44,0.6317326411421156,0,-0.17892049950776423,0.0,1.0,0.0,0,0,469.3866225083923,469.3866225083923,0.0,10.915967965311449,10.915967965311449
UGC00128,11.48,8,64.5,57.0,12.02,9.63,20.36,5.95,88.89,7.431,31.27,129.3,2.8,1,22,0.4350348027842227,1,-0.17176990354758298,-0.34999999999999964,1.060119466241654,0.34999999999999964,0,0,759.5545562898905,62.663412783488425,-696.891143506402,36.16926458523288,2.9839720373089724
ESO116-G012,11.5,7,13.0,74.0,4.292,2.75,90.54,1.51,1320.78,1.083,9.58,109.1,3.1,1,15,0.36663611365719523,1,-0.15746871162722054,-1.975,1.3110007054637607,1.9750000000000008,0,0,326.68128999778224,32.65473832735108,-294.02655167043116,23.334377856984446,2.3324813090965058
UGC03580,11.5,1,20.7,63.0,13.266,1.84,614.94,2.43,302.57,4.37,19.97,126.2,3.2,2,47,0.5562599049128367,0,-0.15746871162722054,0.0,1.0,0.0,0,0,5085.611213086994,5085.611213086994,0.0,110.55676550189118,110.55676550189118
