name,A_true,A_pred_hybrid_loo,delta_pred_minus_true,abs_delta_pred_minus_true,sign_true,sign_pred,sign_match,branch_pred,interior_active,at_lower_bound,at_upper_bound,Type,logL36,L36,Dist,logMHI,MHI,RHI,Vflat,Qual,n_points_used,s_inner,delta_R1
UGC00128,0.34999999999999964,1.0092861885695519,0.6592861885695522,0.6592861885695522,1,1,1,pos,1,0,0,8.0,1.0799044676667207,12.02,64.5,0.8710472613054994,7.431,31.27,129.3,1.0,22.0,0.4350348027842227,-0.17176990354758298
ESO116-G012,1.9750000000000008,-1.2685693980798594,-3.24356939807986,3.24356939807986,1,-1,0,neg,1,0,0,7.0,0.6326597132939135,4.292,13.0,0.03462845662532034,1.083,9.58,109.1,1.0,15.0,0.36663611365719523,-0.15746871162722054
NGC4085,0.08749999999999938,-0.5965757919677768,-0.6840757919677761,0.6840757919677761,1,-1,0,neg,1,0,0,5.0,1.3369397941205898,21.724,18.0,0.13001194967190424,1.349,10.16,131.5,2.0,7.0,0.3209125475285171,-0.15031811566703931
NGC3972,0.9000000000000009,-1.013639850727762,-1.9136398507277628,1.9136398507277628,1,-1,0,neg,1,0,0,4.0,1.156942684852226,14.353,18.0,0.08421868673923877,1.214,10.05,132.7,1.0,10.0,0.4242652599849285,-0.11325376076953424
NGC1003,-0.12499999999999999,-2.5906839508201815,-2.4656839508201815,2.4656839508201815,-1,-1,1,neg,1,0,0,6.0,0.8337843746564789,6.82,11.4,0.7693773260761385,5.88,33.33,109.8,1.0,36.0,0.42805100182149364,-0.10888810280367169
NGC4010,0.4999999999999992,-1.0398865241138346,-1.5398865241138338,1.5398865241138338,1,-1,0,neg,1,0,0,7.0,1.235351663177412,17.193,18.0,0.4520932490177314,2.832,17.59,125.8,2.0,12.0,0.43402225755166934,-0.1045224448378092
NGC3877,-0.5999999999999998,-0.45935822114658653,0.14064177885341322,0.14064177885341322,-1,-1,1,neg,1,0,0,5.0,1.8605476153848894,72.535,18.0,0.17114115102838204,1.483,11.47,168.4,2.0,13.0,0.3500593824228028,-0.06860904018841506
UGC05986,3.999999999999999,1.762886479872085,-2.237113520127914,2.237113520127914,1,1,1,pos,0,1,0,9.0,0.6716355966021298,4.695,8.63,0.4260230156898761,2.667,16.53,113.0,2.0,15.0,0.3553097345132743,-0.06571703103476119
NGC1090,-1.0000000000000002,-0.6150466476516441,0.38495335234835615,0.38495335234835615,-1,-1,1,neg,1,0,0,4.0,1.8576038456946433,72.045,37.0,0.943642882752129,8.783,30.49,164.4,1.0,24.0,0.3753041362530414,-0.059933012727452877
NGC3917,2.6875000000000004,-1.0128393452865905,-3.700339345286591,3.700339345286591,1,-1,0,neg,1,0,0,6.0,1.3417509792651747,21.966,18.0,0.2760019899620501,1.888,14.08,135.9,1.0,17.0,0.36497424576894777,-0.0455722398681809
