data_type,z,D_ratio,bin,ell,cl_ratio_val
growth,0.9662288930581614,1.2449384055660537,,,
growth,0.9681050656660413,1.2454293070824125,,,
growth,0.9699812382739212,1.2459206110059473,,,
growth,0.9718574108818011,1.2464115525026895,,,
growth,0.9737335834896811,1.2469027979919844,,,
growth,0.975609756097561,1.2473937764115772,,,
growth,0.9774859287054409,1.2478849669984726,,,
growth,0.9793621013133208,1.2483759815510518,,,
growth,0.9812382739212008,1.2488671224254642,,,
growth,0.9831144465290806,1.2493581723044602,,,
growth,0.9849906191369606,1.2498492686340756,,,
growth,0.9868667917448405,1.2503403530160837,,,
growth,0.9887429643527205,1.2508314099466686,,,
growth,0.9906191369606003,1.2513225279913198,,,
growth,0.9924953095684803,1.2518135506470363,,,
growth,0.9943714821763602,1.252304701496868,,,
growth,0.9962476547842402,1.2527956924815582,,,
growth,0.99812382739212,1.2532868711387493,,,
growth,1.0,1.2537778266333157,,,
growth,1.00187617260788,1.2542690210575118,,,
growth,1.00375234521576,1.2547599351505123,,,
growth,1.0056285178236397,1.2552511345245294,,,
growth,1.0075046904315197,1.2557420068215732,,,
growth,1.0093808630393997,1.2562332073855804,,,
growth,1.0112570356472796,1.2567240421578794,,,
growth,1.0131332082551594,1.2572152430668087,,,
growth,1.0150093808630394,1.257706045526229,,,
growth,1.0168855534709194,1.25819724591752,,,
growth,1.0187617260787993,1.258688021254562,,,
growth,1.020637898686679,1.2591792202480299,,,
growth,1.022514071294559,1.2596699736321784,,,
growth,1.024390243902439,1.2601611703298816,,,
growth,1.026266416510319,1.260651906909961,,,
growth,1.0281425891181988,1.2611431003960711,,,
growth,1.0300187617260788,1.2616338219188545,,,
growth,1.0318949343339587,1.2621250069413996,,,
growth,1.0337711069418387,1.2626157088630816,,,
growth,1.0356472795497185,1.2631068733601403,,,
growth,1.0375234521575984,1.263597551198229,,,
growth,1.0393996247654784,1.2640886849510478,,,
growth,1.0412757973733584,1.2645793400178509,,,
growth,1.0431519699812384,1.2650704396321906,,,
growth,1.0450281425891181,1.2655610766338734,,,
growth,1.0469043151969981,1.2660521412049692,,,
growth,1.048780487804878,1.2665427653698176,,,
growth,1.050656660412758,1.2670337939745395,,,
growth,1.0525328330206378,1.267524410510704,,,
growth,1.0544090056285178,1.2680154022074221,,,
growth,1.0562851782363978,1.2685060163033126,,,
growth,1.0581613508442778,1.2689969701317634,,,
growth,1.0600375234521575,1.2694875869564464,,,
growth,1.0619136960600375,1.2699785019375993,,,
growth,1.0637898686679175,1.2704691230290184,,,
growth,1.0656660412757974,1.2709599927116295,,,
