name,logM200,Vflat,Qual,Rdisk,log10Cobs,log10c_ref,delta_R1,n_inner_pts,inner_shape_proxy
NGC3917,11.76,135.9,1,2.63,0.6875289612146344,0.9473563089122576,-0.0455722398681809,3,0.36497424576894777
NGC6946,11.8,158.9,1,2.44,0.9258275746247423,0.9439344759674939,-0.03678313459239754,7,0.8244178728760226
NGC0289,11.81,163.0,2,6.74,0.8426092396105621,0.9430139592653279,-0.03471649546197157,6,1.0736196319018405
UGC03546,11.85,196.9,1,3.79,1.0718820073061255,0.9390991743597347,-0.02644993894026776,14,1.127475876079228
NGC5033,11.88,194.2,1,5.16,1.2564772062416767,0.9359003256515922,-0.02060813823686431,3,1.101956745623069
NGC5907,11.88,215.0,1,5.34,1.3390537357091392,0.9359003256515922,-0.02060813823686431,1,0.9953488372093023
NGC4051,11.9,157.0,2,4.65,0.8350561017201162,0.9336408038591952,-0.01752444742073287,2,0.7547770700636942
NGC0891,11.92,216.1,1,2.55,1.2234959409623944,0.9312883191930751,-0.01444075660460143,2,0.985654789449329
NGC4088,11.93,171.7,1,2.58,0.8061799739838872,0.9300699481998497,-0.012898911196535726,1,0.4944670937682004
NGC3893,11.94,174.0,1,2.38,0.9599948383284161,0.9288329224493552,-0.011357065788470011,1,0.8333333333333334
UGC02916,11.94,182.7,2,6.15,1.1510632533537501,0.9288329224493552,-0.011357065788470011,17,1.1330049261083746
IC4202,11.95,242.6,1,4.78,1.3847117429382825,0.9275686918445104,-0.009815220380404267,6,0.5585325638911789
NGC2998,12.0,209.9,1,6.2,0.9439888750737718,0.9208725781991819,-0.0029025266763196,5,0.7050976655550262
UGC08699,12.0,182.4,2,3.09,0.8195439355418687,0.9208725781991819,-0.0029025266763196,14,1.0635964912280702
