name,Areq_true,absAreq_true,sign_true_pm1,sign_pred_pm1,sign_match,p_pred_pos_loo,p_pred_neg_loo,Areq_pred_two_stage,absAreq_pred_two_stage,err_two_stage,abs_err_two_stage,Areq_pred_oracle_sign,absAreq_pred_oracle_sign,err_oracle_sign,abs_err_oracle_sign,interior_active,at_lower_bound,at_upper_bound,Type,Dist,L36,logL36,MHI,logMHI,RHI,Vflat,Qual,n_points_used,s_inner,delta_R1,logM200
NGC2976,2.5624999999999996,2.5624999999999996,1,1,1,0.9999985760577358,1.4239422642114974e-06,0.5013219139214634,0.5013219139214634,-2.0611780860785363,2.0611780860785363,0.5013219139214634,0.5013219139214634,-2.0611780860785363,2.0611780860785363,1,0,0,5.0,3.58,3.371,0.5277587525209719,0.172,-0.7644715530924511,3.04,85.4,2.0,27.0,0.3360655737704918,-0.1931560101229261,11.12
UGC04278,1.5625,1.5625,1,1,1,0.9998334528862811,0.00016654711371888453,1.0665017266515266,1.0665017266515266,-0.49599827334847335,0.49599827334847335,1.0665017266515266,1.0665017266515266,-0.49599827334847335,0.49599827334847335,1,0,0,7.0,9.51,1.307,0.11627558758054428,1.116,0.04766419460155998,8.9,91.4,1.0,25.0,0.3648796498905908,-0.20295553194381213,11.15
IC2574,3.375,3.375,1,1,1,0.9999853281247782,1.4671875221750064e-05,0.9889915618057235,0.9889915618057235,-2.3860084381942768,2.3860084381942768,0.9889915618057235,0.9889915618057235,-2.3860084381942768,2.3860084381942768,1,0,0,9.0,3.91,1.016,0.006893707947900456,1.036,0.01535975540921423,10.81,66.4,2.0,34.0,0.28012048192771083,-0.21590834701317407,11.19
NGC0100,0.16249999999999953,0.16249999999999953,1,1,1,0.9995340004545965,0.00046599954540349486,1.0989278056174985,1.0989278056174985,0.9364278056174989,0.9364278056174989,1.0989278056174985,1.0989278056174985,0.9364278056174989,0.9364278056174989,1,0,0,6.0,13.5,3.232,0.5094713521025486,1.99,0.29885307640970665,16.36,88.1,1.0,21.0,0.300794551645857,-0.21590834701317407,11.19
NGC5585,0.8875000000000003,0.8875000000000003,1,1,1,0.9999207645811403,7.923541885968e-05,1.137795312505375,1.137795312505375,0.25029531250537473,0.25029531250537473,1.137795312505375,1.137795312505375,0.25029531250537473,0.25029531250537473,1,0,0,7.0,7.06,2.943,0.46879026209961094,1.683,0.22608411597582387,10.92,90.3,1.0,24.0,0.37320044296788485,-0.23256919743345358,11.26
UGC00128,0.34999999999999964,0.34999999999999964,1,-1,0,0.4195069372453724,0.5804930627546276,-0.10175243717928723,0.10175243717928723,-0.45175243717928687,0.45175243717928687,0.6230061097684745,0.6230061097684745,0.27300610976847484,0.27300610976847484,1,0,0,8.0,64.5,12.02,1.0799044676667207,7.431,0.8710472613054994,31.27,129.3,1.0,22.0,0.4350348027842227,-0.17176990354758298,11.48
ESO116-G012,1.9750000000000008,1.9750000000000008,1,1,1,0.9996241163608424,0.000375883639157637,1.4008053458162009,1.4008053458162009,-0.5741946541837999,0.5741946541837999,1.4008053458162009,1.4008053458162009,-0.5741946541837999,0.5741946541837999,1,0,0,7.0,13.0,4.292,0.6326597132939135,1.083,0.03462845662532034,9.58,109.1,1.0,15.0,0.36663611365719523,-0.15746871162722054,11.5
NGC4085,0.08749999999999938,0.08749999999999938,1,1,1,0.9967754632696574,0.00322453673034262,1.1411934704745323,1.1411934704745323,1.0536934704745329,1.0536934704745329,1.1411934704745323,1.1411934704745323,1.0536934704745329,1.0536934704745329,1,0,0,5.0,18.0,21.724,1.3369397941205898,1.349,0.13001194967190424,10.16,131.5,2.0,7.0,0.3209125475285171,-0.15031811566703931,11.51
NGC3972,0.9000000000000009,0.9000000000000009,1,1,1,0.9653279948713631,0.034672005128636885,1.239804724124895,1.239804724124895,0.33980472412489415,0.33980472412489415,1.239804724124895,1.239804724124895,0.33980472412489415,0.33980472412489415,1,0,0,4.0,18.0,14.353,1.156942684852226,1.214,0.08421868673923877,10.05,132.7,1.0,10.0,0.4242652599849285,-0.11325376076953424,11.57
NGC1003,-0.12499999999999999,0.12499999999999999,-1,1,0,0.8651595489747447,0.13484045102525533,1.6383013687018282,1.6383013687018282,1.7633013687018282,1.7633013687018282,-0.3309778598060401,0.3309778598060401,-0.2059778598060401,0.2059778598060401,1,0,0,6.0,11.4,6.82,0.8337843746564789,5.88,0.7693773260761385,33.33,109.8,1.0,36.0,0.42805100182149364,-0.10888810280367169,11.58
NGC4010,0.4999999999999992,0.4999999999999992,1,-1,0,0.33201210070395787,0.6679878992960422,-0.04910721471494664,0.04910721471494664,-0.5491072147149458,0.5491072147149458,1.5096539987357884,1.5096539987357884,1.0096539987357893,1.0096539987357893,1,0,0,7.0,18.0,17.193,1.235351663177412,2.832,0.4520932490177314,17.59,125.8,2.0,12.0,0.43402225755166934,-0.1045224448378092,11.59
NGC3877,-0.5999999999999998,0.5999999999999998,-1,1,0,0.9988050647418651,0.001194935258134855,0.9034993517669317,0.9034993517669317,1.5034993517669315,1.5034993517669315,-0.753626452160578,0.753626452160578,-0.15362645216057824,0.15362645216057824,1,0,0,5.0,18.0,72.535,1.8605476153848894,1.483,0.17114115102838204,11.47,168.4,2.0,13.0,0.3500593824228028,-0.06860904018841506,11.68
UGC05986,3.999999999999999,3.999999999999999,1,-1,0,0.30125243730080214,0.6987475626991979,-0.7182122939729003,0.7182122939729003,-4.7182122939729,4.7182122939729,1.4559393532119929,1.4559393532119929,-2.5440606467880063,2.5440606467880063,0,1,0,9.0,8.63,4.695,0.6716355966021298,2.667,0.4260230156898761,16.53,113.0,2.0,15.0,0.3553097345132743,-0.06571703103476119,11.69
NGC1090,-1.0000000000000002,1.0000000000000002,-1,-1,1,0.002399701607488291,0.9976002983925117,-0.843631538070001,0.843631538070001,0.1563684619299992,0.1563684619299992,-0.843631538070001,0.843631538070001,0.1563684619299992,0.1563684619299992,1,0,0,4.0,37.0,72.045,1.8576038456946433,8.783,0.943642882752129,30.49,164.4,1.0,24.0,0.3753041362530414,-0.059933012727452877,11.71
NGC3917,2.6875000000000004,2.6875000000000004,1,-1,0,0.228020963701971,0.771979036298029,-0.8599224494595036,0.8599224494595036,-3.547422449459504,3.547422449459504,1.1162350323073758,1.1162350323073758,-1.5712649676926247,1.5712649676926247,1,0,0,6.0,18.0,21.966,1.3417509792651747,1.888,0.2760019899620501,14.08,135.9,1.0,17.0,0.36497424576894777,-0.0455722398681809,11.76
F571-8,-2.0000000000000253,2.0000000000000253,-1,1,0,0.8696134413413905,0.13038655865860949,1.8107865563544339,1.8107865563544339,3.810786556354459,3.810786556354459,-1.8480327086361563,1.8480327086361563,0.151967291363869,0.151967291363869,0,0,1,5.0,53.3,10.164,1.0070646563783316,1.782,0.25090769970085597,24.55,139.7,1.0,13.0,0.404438081603436,0.0026855775406061312,12.05
ESO079-G014,-2.0000000000000027,2.0000000000000027,-1,-1,1,0.3270367626249463,0.6729632373750537,-1.9737726792996706,1.9737726792996706,0.02622732070033207,0.02622732070033207,-1.9737726792996706,1.9737726792996706,0.02622732070033207,0.02622732070033207,0,0,1,4.0,28.7,51.733,1.7137676639043045,3.14,0.49692964807321494,17.67,175.0,1.0,15.0,0.3471428571428571,0.023491596256612648,12.4
ESO563-G021,4.0,4.0,1,1,1,0.7418717329255967,0.2581282670744033,3.1636915177794083,3.1636915177794083,-0.8363084822205917,0.8363084822205917,3.1636915177794083,3.1636915177794083,-0.8363084822205917,0.8363084822205917,0,1,0,4.0,60.8,311.177,2.4930074895315832,24.298,1.3855705277254657,55.71,314.6,1.0,30.0,0.30689764780673867,0.01912233473436009,13.47
